x,y
a,1.9353631898010852
a,1.1764886105624588
a,1.2436854647462048
a,2.6235488834436027
a,1.112038082869763
a,0.8660029869374452
a,-0.9100874677222122
a,0.7207627584151555
a,0.6865540217421098
a,2.0673078787615093
b,8.070034850296638
b,7.360876676114335
b,7.950035100951855
b,7.748516556749786
b,8.444797115792728
b,10.755417575336857
b,8.046531380444193
b,8.57770906930663
b,8.118194874409683
b,6.088279508971798
c,6.862086481838568
c,5.756763260366524
c,5.79391280521842
c,6.019177592209147
c,6.029560754319767
c,6.549827541801689
c,3.72588514310706
c,8.682557183556348
c,5.638778744506285
c,6.213355749710029
d,3.0743458822596876
d,1.3349117514544946
d,3.1139524189692205
d,1.7541035883208476
d,0.8224366910567193
d,1.0241493838401374
d,3.0650573200271523
d,2.1316706347728944
d,2.4886288092009807
d,0.3005494321543063
